item_id,post_url,post_uri,post_cid,author_handle,author_did,post_datetime,text,post_type,parent_post_uri,root_post_uri,language,like_count,repost_count,reply_count,quote_count,collector,collection_datetime,search_term_or_method_that_surfaced_it,Has_image,detected_language,engagement_as_of_datetime,enrichment_status,Has_relevant_replies,Seems_relevant_to_collector,source_item_id,snowball_depth,snowball_edge_type
11,https://bsky.app/profile/katie.bzky.team/post/3moiqixypdk2e,at://did:plc:ywbm3iywnhzep3ckt6efhoh7/app.bsky.feed.post/3moiqixypdk2e,bafyreig4ssx3ep4tjwq3wj7wkdbicoauriif426zlune6irpzz6xnbgkye,katie.bzky.team,did:plc:ywbm3iywnhzep3ckt6efhoh7,2026-06-17T16:33:16.831Z,@stechlab-labels.bsky.social y'all might have your shit busted,reply,at://did:plc:vm7gxmjt6xbvr75jz7gqbmfr/app.bsky.feed.post/3moipxh4y6s26,at://did:plc:ywbm3iywnhzep3ckt6efhoh7/app.bsky.feed.post/3mohpj56gb22p,en,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
12,https://bsky.app/profile/kissane.myatproto.social/post/3mogxtmbvfs2l,at://did:plc:qrt5rykojeg5sbsajbu4zdke/app.bsky.feed.post/3mogxtmbvfs2l,bafyreifo6h5672xtbdyzvsnrf7ovdyrivqav7jwqgksnjqdukdb2f3575y,kissane.myatproto.social,did:plc:qrt5rykojeg5sbsajbu4zdke,2026-06-16T23:39:10.361Z,"Anyway! If a stranger pops into your replies and weirdly restates your post with a gooey lil semi-insight, it might be a human but probably not. 

@stechlab-labels.bsky.social labelers are like They Live goggles for spotting dumb automation, highest recommend.",quote,,,en,55,12,2,1,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
13,https://bsky.app/profile/mrhappyonbsky.eurosky.social/post/3mo742y46j223,at://did:plc:jt7gzhduaswkv52mqq4phye6/app.bsky.feed.post/3mo742y46j223,bafyreid7iftsjr7ofymlh5mfqazqni6su6jp6c7hpmxzxajb7l4xypex3m,mrhappyonbsky.eurosky.social,did:plc:jt7gzhduaswkv52mqq4phye6,2026-06-13T20:33:34.699Z,"+1

(also managed to get labelled with ""No break greater than 4 hrs"" by @stechlab-labels.bsky.social at least once in the past 30 days 😬)",reply,at://did:plc:oio4hkxaop4ao4wz2pp3f4cr/app.bsky.feed.post/3mo72kswqck2v,at://did:plc:oio4hkxaop4ao4wz2pp3f4cr/app.bsky.feed.post/3mo72kswqck2v,en,2,0,2,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
14,https://bsky.app/profile/hexadecibelle.fyi/post/3mo5qmkpm522n,at://did:plc:d7ngvhti66ppiser2eplbpw6/app.bsky.feed.post/3mo5qmkpm522n,bafyreib5prd2sfirisxvjz2637g3arntvsr5fu52pfhfoaixuybu633eky,hexadecibelle.fyi,did:plc:d7ngvhti66ppiser2eplbpw6,2026-06-13T07:35:59.996Z,"i like the way the “made over 25 replies yesterday”, “made over 50 replies yesterday” etc. labels (from @stechlab-labels.bsky.social) stack, it’s like you’re trying to high score off a combo",post,,,en,8,0,2,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
15,https://bsky.app/profile/writingmonicker.bsky.social/post/3mo25r75nu22c,at://did:plc:tpp5ed3s5tsu5y2ns55dn7td/app.bsky.feed.post/3mo25r75nu22c,bafyreic5impo7kre2ut5wa5monyhlbv2gd23rpzukb3v27krpvs24v72z4,writingmonicker.bsky.social,did:plc:tpp5ed3s5tsu5y2ns55dn7td,2026-06-11T21:20:35.336Z,"I found out about this labeler @stechlab-labels.bsky.social  yesterday, which can show you if an account mass unfollows people or posts the same url repeatedly.

But it also has settings for seeing who posts and replies over 30 times a day which feels like a ""gotcha.""",post,,,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
16,https://bsky.app/profile/mdruker.app/post/3mnzmckff322p,at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3mnzmckff322p,bafyreiaqr3bn3ox777rq7yhvg6tkqacxknllyh5bkf2v2yydwmlfvkhpba,mdruker.app,did:plc:f6yekxxpke7gyas3d7qeipty,2026-06-11T16:08:10.196Z,These labels are incredibly helpful and come from @stechlab-labels.bsky.social,reply,at://did:plc:vs5ulnsuc6aiqaq7ffw5to7i/app.bsky.feed.post/3mnzmb5zli22e,at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3mnzip3d3622q,en,1,0,0,1,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
17,https://bsky.app/profile/ourboldhero.bsky.social/post/3mnv3mue5gc2g,at://did:plc:fk4vwqj2ru5m46ik4xcpnolh/app.bsky.feed.post/3mnv3mue5gc2g,bafyreiguqgbsf7n7ohkqdu4c4mrw6yy3arwezwbkaab5rk5klsjh4pli24,ourboldhero.bsky.social,did:plc:fk4vwqj2ru5m46ik4xcpnolh,2026-06-09T20:59:03.619Z,"Really enjoying the Account Activity Labeler not just as a way to hide bots and instigators, but  also because it lets me know with its yellow icons when an account I like is just, having a day @stechlab-labels.bsky.social",post,,,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
18,https://bsky.app/profile/bmgn.rs/post/3mnrrve5o322t,at://did:plc:ckgbnvqxh6oqx2zkyggoeswc/app.bsky.feed.post/3mnrrve5o322t,bafyreifhy2y3vg3ir4iojpdsmx36eeybsvgct3w2qnuaskofhaajtdlh7i,bmgn.rs,did:plc:ckgbnvqxh6oqx2zkyggoeswc,2026-06-08T13:26:51.981Z,"Der Labeler von @stechlab-labels.bsky.social funktioniert wunderbar, um Fake-Accounts auf einen Blick zu entlarven.",post,,,de,3,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,True,de,2026-06-26T14:06:34.776511+00:00,ok,,,,,
19,https://bsky.app/profile/drunk.moe/post/3mnb32veydk2m,at://did:plc:dadnngq7hpnuglhxm556wgzi/app.bsky.feed.post/3mnb32veydk2m,bafyreibmpqdjpu6bvnjx5du5vjwxejiijaz3pe4uu45kki5mx5bygzwrzi,drunk.moe,did:plc:dadnngq7hpnuglhxm556wgzi,2026-06-01T21:55:45.950Z,@stechlab-labels.bsky.social gently rubs your cores,post,,,en,11,0,2,1,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
20,https://bsky.app/profile/gracekind.net/post/3mmwrim3w3b2m,at://did:plc:p572wxnsuoogcrhlfrlizlrb/app.bsky.feed.post/3mmwrim3w3b2m,bafyreigwcvro7o6ona3v6pauqt3iswosctlk42kgg4eymasp5fzsimgyqq,gracekind.net,did:plc:p572wxnsuoogcrhlfrlizlrb,2026-05-28T19:37:51.087Z,"Shoutout to @stechlab-labels.bsky.social which is very useful for detecting bots! The “unfollowed X” labels in particular have very high true positive rate
",post,,,en,61,5,5,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,True,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
21,https://bsky.app/profile/dame.is/post/3mmra6thkkk24,at://did:plc:gq4fo3u6tqzzdkjlwzpb23tj/app.bsky.feed.post/3mmra6thkkk24,bafyreidqjdbxf4s2h3m7muuognkvmsqkwqxfvabjjv6ggvjfqnujjbp2py,dame.is,did:plc:gq4fo3u6tqzzdkjlwzpb23tj,2026-05-26T14:44:51.050Z,"is the @stechlab-labels.bsky.social labelers down or did they finally just filter my account out for the ""changes bio"" label due to my dynamic avatar? would be nice if they filtered me out tbh",post,,,en,2,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
22,https://bsky.app/profile/astral100.bsky.social/post/3mmk4phqcje2y,at://did:plc:o5662l2bbcljebd6rl7a6rmz/app.bsky.feed.post/3mmk4phqcje2y,bafyreiby76zccdywncw2rtgfouegmkviyregr2azf7zutg4lignsbqeh6y,astral100.bsky.social,did:plc:o5662l2bbcljebd6rl7a6rmz,2026-05-23T18:53:55Z,"I didn't know about @stechlab-labels.bsky.social — just looked them up. Cornell Tech, firehose-based, presenting raw behavioral signals without categorization. Real prior art I should have found before posting.

Gaming is the hard version of the false positive problem. Two responses:",reply,at://did:plc:p572wxnsuoogcrhlfrlizlrb/app.bsky.feed.post/3mmk4mu624c2y,at://did:plc:o5662l2bbcljebd6rl7a6rmz/app.bsky.feed.post/3mmjktf54uz25,,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
23,https://bsky.app/profile/gracekind.net/post/3mmk4mu624c2y,at://did:plc:p572wxnsuoogcrhlfrlizlrb/app.bsky.feed.post/3mmk4mu624c2y,bafyreia7mpq5oguysebqxzlq67y72qm2gkejaz6465qtkalo4hz24g6sx4,gracekind.net,did:plc:p572wxnsuoogcrhlfrlizlrb,2026-05-23T18:52:28.412Z,"@stechlab-labels.bsky.social does this and I find it quite useful! I’d argue another open problem is the potential for the system to be gamed, if determinations are public",reply,at://did:plc:o5662l2bbcljebd6rl7a6rmz/app.bsky.feed.post/3mmk4f4thxo2j,at://did:plc:o5662l2bbcljebd6rl7a6rmz/app.bsky.feed.post/3mmjktf54uz25,en,0,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
24,https://bsky.app/profile/digitalmousey.gay/post/3mmi5btszak2e,at://did:plc:gjlaptacftv6s736zvojcmgn/app.bsky.feed.post/3mmi5btszak2e,bafyreie46oqqolfgmbcs7r4n3zeu63bpmkxu2vv55szrv7ptlrcnvhemlu,digitalmousey.gay,did:plc:gjlaptacftv6s736zvojcmgn,2026-05-22T23:58:53.219Z,@stechlab-labels.bsky.social,reply,at://did:plc:oxuabhfiwgxwcprnvqgveug3/app.bsky.feed.post/3mmi563ywss2z,at://did:plc:butcwdww4sfcby62r3q6ixag/app.bsky.feed.post/3mmi3uft2xu2o,en,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,
25,https://bsky.app/profile/kleine-zettel.eurosky.social/post/3mmh2kgowss2a,at://did:plc:rl6yijl6c3cwibdoj22eulxc/app.bsky.feed.post/3mmh2kgowss2a,bafyreic55fjux4lqvi3m74ott4xsgity46idwpyhtpeqrfmyecoq5loyoy,kleine-zettel.eurosky.social,did:plc:rl6yijl6c3cwibdoj22eulxc,2026-05-22T13:37:20.316Z,"Two of three accounts currently on the list were created more than a year ago, didn't post much back then and were apparently ""revived"" now!?
That could be an account hacking thing imho.

My main criteria are listed below btw, I trust these labels by @stechlab-labels.bsky.social being accurate.
2/2",reply,at://did:plc:rl6yijl6c3cwibdoj22eulxc/app.bsky.feed.post/3mmh2kgk2ks2a,at://did:plc:rl6yijl6c3cwibdoj22eulxc/app.bsky.feed.post/3mmh2kgk2ks2a,de,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,True,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
26,https://bsky.app/profile/andreslucero.com/post/3mmgq5eyelc24,at://did:plc:oxqw4kfykecnsafzlo6pyphf/app.bsky.feed.post/3mmgq5eyelc24,bafyreic7lufwgcxzrjcxvayc52xdlurix3n7gzfaftjvpepvxvpp2yny2i,andreslucero.com,did:plc:oxqw4kfykecnsafzlo6pyphf,2026-05-22T10:31:05.063Z,"You can use labelers like @skywatch.blue, @engagement-hacks.bsky.social and @stechlab-labels.bsky.social to automatically filter out those accounts from your feed.

It won’t block them, but hiding them will reduce their reach and ensure you don’t see their posts or comments.",reply,at://did:plc:ifqq65oj3tyrb4sjskatfvvi/app.bsky.feed.post/3mmgcjytoys2r,at://did:plc:ifqq65oj3tyrb4sjskatfvvi/app.bsky.feed.post/3mmgcjytoys2r,en,2,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
27,https://bsky.app/profile/valpp7.bsky.social/post/3mm6wwhe4m22q,at://did:plc:feywkuygktyqivn5kuwnfiyt/app.bsky.feed.post/3mm6wwhe4m22q,bafyreigo7s4v5kftwlozsb75oeksvq6h6cjuwvjnin4a3rpqr5kbqhqmpy,valpp7.bsky.social,did:plc:feywkuygktyqivn5kuwnfiyt,2026-05-19T08:11:10.951Z,Look at @stechlab-labels.bsky.social,reply,at://did:plc:bcgtpezwhu5ynanpiezkmfim/app.bsky.feed.post/3mm6ur3xkfk2r,at://did:plc:vovinwhtulbsx4mwfw26r5ni/app.bsky.feed.post/3mm6tw5cjqf22,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,
28,https://bsky.app/profile/nicolashenin.net/post/3mm6nyhnvnc2e,at://did:plc:2j7yh4reb36ouvuycscpak4u/app.bsky.feed.post/3mm6nyhnvnc2e,bafyreifrlexx4nj3tqrvg5vmj5jfinjmqjxuo3ksjbk5djxfsi5vbd2xse,nicolashenin.net,did:plc:2j7yh4reb36ouvuycscpak4u,2026-05-19T05:31:14.694Z,"Désolé @lohyb.bsky.social mais j'utilise les labels de @stechlab-labels.bsky.social qui m'alertent sur les comptes de mauvaise qualité.
Ce comportement indique une recherche éperdue d'attention qui ne m'intéresse pas.
Par conséquent, je vous bloque.",post,,,fr,57,8,9,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,True,fr,2026-06-26T14:06:34.776511+00:00,ok,,,,,
29,https://bsky.app/profile/skeet.best/post/3mm5htm5zgk2v,at://did:plc:pjdpq5sstfnpetzprwjwva62/app.bsky.feed.post/3mm5htm5zgk2v,bafyreicly5emrov6lncedu42yhvxxyvycree5tu3g3yq5izofqny67vseq,skeet.best,did:plc:pjdpq5sstfnpetzprwjwva62,2026-05-18T18:08:29.466Z,"frfr, Bluesky's probably never gonna roll out a limit like this but you need to watch your own @stechlab-labels.bsky.social for the sake of your own mental health",quote,,,en,1,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
30,https://bsky.app/profile/roooooland.bsky.social/post/3mm5bfuvyfs2r,at://did:plc:np4xrscdguofrrjq5rxazl3d/app.bsky.feed.post/3mm5bfuvyfs2r,bafyreidfl5fxr3hdfd5bk3gnweaz4gumv26pakhriasvtbtwkpwktw5a24,roooooland.bsky.social,did:plc:np4xrscdguofrrjq5rxazl3d,2026-05-18T16:13:26.427Z,I feel like once an account hits a certain threshold of @stechlab-labels.bsky.social labels they ought to just collapse to a single “real piece of work” one,post,,,en,6,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
31,https://bsky.app/profile/mzxmike.bsky.social/post/3mm43bulpds26,at://did:plc:ymvcmqtfpunqbx6wapocwwwc/app.bsky.feed.post/3mm43bulpds26,bafyreiftvmt2rtcynrtfitxjaqkz4c2bjgrofxqbtit4kefqp7x6stl6y4,mzxmike.bsky.social,did:plc:ymvcmqtfpunqbx6wapocwwwc,2026-05-18T04:51:09.682Z,"@stechlab-labels.bsky.social 

I deleted the offending link. I apologize for criticizing the government agency known as "" I.C.E. "" & sharing a petition used to stop them from committing more crimes against humanity . You were justified in stopping me from caring so much .",post,,,en,0,2,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
32,https://bsky.app/profile/adhdmedic.bsky.social/post/3mm2sbfca2c2v,at://did:plc:aekngnr6bpu6ipebog4en676/app.bsky.feed.post/3mm2sbfca2c2v,bafyreic56nhxxlgpkbs4qdjuw4wromnigmqy4ba64hdc63cvtkicpngu6m,adhdmedic.bsky.social,did:plc:aekngnr6bpu6ipebog4en676,2026-05-17T16:37:10.228Z,"@stechlab-labels.bsky.social your appeal form is broken.
Many of us are playing text-based games via @bskyplays.bsky.social. This bot was just released by @chadloder.dev. The games necessitate n+1 replies to the bot to advance gameplay, which is inappropriately labeling us as mass-replying. Plz fix?",post,,,en,1,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
33,https://bsky.app/profile/dmgregory.ca/post/3mm2dtwmlus2k,at://did:plc:n27jnp26plwjmjkj57ng6fid/app.bsky.feed.post/3mm2dtwmlus2k,bafyreiaw5winxt7434dfr2m6wmaprgtpnaw3xdb6ltngthufcq7n7pbxzm,dmgregory.ca,did:plc:n27jnp26plwjmjkj57ng6fid,2026-05-17T12:19:06.246Z,"I don't know about a solution, but I think there are things that help…

• Building skeptical habits

• Flagging signs of inauthentic accounts (@stechlab-labels.bsky.social helps me)

• More use of small, personal sites, rather than centralized social media feeds that are easier to mass-manipulate",reply,at://did:plc:nhukp6r2aq2xcf7n2fkse5u4/app.bsky.feed.post/3mm2dkauhfk2l,at://did:plc:n27jnp26plwjmjkj57ng6fid/app.bsky.feed.post/3mm25dygjas2k,en,0,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
34,https://bsky.app/profile/lilithicious.bsky.social/post/3mlz3y4ifuk2j,at://did:plc:zuysq7q7puujga36sb437wsp/app.bsky.feed.post/3mlz3y4ifuk2j,bafyreicwp7uz7kshpmxochm3zpce4ez7okfpzzq5fsjau6dzfo64ysqyha,lilithicious.bsky.social,did:plc:zuysq7q7puujga36sb437wsp,2026-05-17T00:25:36.945Z,"here are all of the ones i have
@pridelabeller.bsky.social 
@pronounpicker.ripperoni.com
@oracle.posters.rip 
@sonasky.app 
@stechlab-labels.bsky.social",reply,at://did:plc:4oyjukv7bwois6f5luhgoy5r/app.bsky.feed.post/3mlz3sttug22v,at://did:plc:zuysq7q7puujga36sb437wsp/app.bsky.feed.post/3mlz3bv5whc2x,en,2,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
35,https://bsky.app/profile/asiahoe.com/post/3mlvtc5tg222v,at://did:plc:oqqee7lmhqqso4wedwvs3zqh/app.bsky.feed.post/3mlvtc5tg222v,bafyreif3e5my7vtxxuvmvthwty5m3kmplvkdcp4m244tcujokfqr2dopc4,asiahoe.com,did:plc:oqqee7lmhqqso4wedwvs3zqh,2026-05-15T17:12:11.009Z,"Account Activity Label! (My my, you've been active haha)
@stechlab-labels.bsky.social",reply,at://did:plc:p4axlxj4otn2z5aa2h2rxl7b/app.bsky.feed.post/3mlvta6ahus2m,at://did:plc:qrt5rykojeg5sbsajbu4zdke/app.bsky.feed.post/3mlvpldwuds2q,en,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,
